path,bytes,reason
.DS_Store,20484,old generated output or OS metadata
.claude/.DS_Store,6148,old generated output or OS metadata
.claude/worktrees/.DS_Store,6148,old generated output or OS metadata
.github/.DS_Store,6148,old generated output or OS metadata
.ruff_cache/.DS_Store,6148,old generated output or OS metadata
archive/.DS_Store,6148,old generated output or OS metadata
backend/.DS_Store,8196,old generated output or OS metadata
backend/.ruff_cache/.DS_Store,6148,old generated output or OS metadata
backend/app/.DS_Store,8196,old generated output or OS metadata
backend/app/agent/.DS_Store,6148,old generated output or OS metadata
backend/data/.DS_Store,6148,old generated output or OS metadata
backend/migrations/.DS_Store,6148,old generated output or OS metadata
backend/scripts/.DS_Store,6148,old generated output or OS metadata
backend/static/.DS_Store,6148,old generated output or OS metadata
bench/.DS_Store,6148,old generated output or OS metadata
bench/results/2026-05-24-12-39/results.json,3251,old generated output or OS metadata
bench/results/2026-05-24-12-39/summary.md,1474,old generated output or OS metadata
bench/results/2026-05-24-12-40/results.json,222,old generated output or OS metadata
bench/results/2026-05-24-12-40/summary.md,227,old generated output or OS metadata
bench/results/2026-05-24-12-42/results.json,222,old generated output or OS metadata
bench/results/2026-05-24-12-42/summary.md,227,old generated output or OS metadata
bench/results/2026-05-24-15-11/results.json,222,old generated output or OS metadata
bench/results/2026-05-24-15-11/summary.md,227,old generated output or OS metadata
bench/results/2026-05-24-15-19/results.json,222,old generated output or OS metadata
bench/results/2026-05-24-15-19/summary.md,227,old generated output or OS metadata
bench/results/2026-05-24-18-44/results.json,222,old generated output or OS metadata
bench/results/2026-05-24-18-44/summary.md,227,old generated output or OS metadata
bench/results/2026-05-24-19-07/results.json,222,old generated output or OS metadata
bench/results/2026-05-24-19-07/summary.md,227,old generated output or OS metadata
bench/results/2026-05-24-19-08/results.json,222,old generated output or OS metadata
bench/results/2026-05-24-19-08/summary.md,227,old generated output or OS metadata
bench/results/2026-05-24-20-15/results.json,222,old generated output or OS metadata
bench/results/2026-05-24-20-15/summary.md,227,old generated output or OS metadata
bench/results/2026-05-25-15-09/results.json,222,old generated output or OS metadata
bench/results/2026-05-25-15-09/summary.md,227,old generated output or OS metadata
bench/results/2026-05-25-15-11/results.json,222,old generated output or OS metadata
bench/results/2026-05-25-15-11/summary.md,227,old generated output or OS metadata
bench/results/2026-05-25-15-12/results.json,222,old generated output or OS metadata
bench/results/2026-05-25-15-12/summary.md,227,old generated output or OS metadata
bench/results/2026-05-25-15-14/results.json,222,old generated output or OS metadata
bench/results/2026-05-25-15-14/summary.md,227,old generated output or OS metadata
bench/results/2026-05-25-15-15/results.json,222,old generated output or OS metadata
bench/results/2026-05-25-15-15/summary.md,227,old generated output or OS metadata
bench/results/2026-05-25-15-16/results.json,222,old generated output or OS metadata
bench/results/2026-05-25-15-16/summary.md,227,old generated output or OS metadata
bench/results/2026-05-25-15-17/results.json,222,old generated output or OS metadata
bench/results/2026-05-25-15-17/summary.md,227,old generated output or OS metadata
bench/results/2026-05-25-15-19/results.json,222,old generated output or OS metadata
bench/results/2026-05-25-15-19/summary.md,227,old generated output or OS metadata
bench/results/2026-05-25-15-24/results.json,222,old generated output or OS metadata
bench/results/2026-05-25-15-24/summary.md,227,old generated output or OS metadata
bench/results/2026-05-25-15-25/results.json,222,old generated output or OS metadata
bench/results/2026-05-25-15-25/summary.md,227,old generated output or OS metadata
bench/results/2026-05-25-15-26/results.json,222,old generated output or OS metadata
bench/results/2026-05-25-15-26/summary.md,227,old generated output or OS metadata
bench/results/2026-05-25-15-49/results.json,222,old generated output or OS metadata
bench/results/2026-05-25-15-49/summary.md,227,old generated output or OS metadata
bench/results/2026-05-25-15-52/results.json,222,old generated output or OS metadata
bench/results/2026-05-25-15-52/summary.md,227,old generated output or OS metadata
bench/results/2026-05-25-15-59/results.json,3252,old generated output or OS metadata
bench/results/2026-05-25-15-59/summary.md,1475,old generated output or OS metadata
bench/results/2026-05-25-21-01/results.json,222,old generated output or OS metadata
bench/results/2026-05-25-21-01/summary.md,227,old generated output or OS metadata
bench/results/2026-05-26-14-08/results.json,222,old generated output or OS metadata
bench/results/2026-05-26-14-08/summary.md,227,old generated output or OS metadata
bench/results/2026-05-26-14-15/results.json,222,old generated output or OS metadata
bench/results/2026-05-26-14-15/summary.md,227,old generated output or OS metadata
bench/results/2026-05-26-18-34/results.json,222,old generated output or OS metadata
bench/results/2026-05-26-18-34/summary.md,227,old generated output or OS metadata
bench/results/2026-05-26-21-13/results.json,222,old generated output or OS metadata
bench/results/2026-05-26-21-13/summary.md,227,old generated output or OS metadata
bench/results/2026-05-27-19-32/results.json,222,old generated output or OS metadata
bench/results/2026-05-27-19-32/summary.md,227,old generated output or OS metadata
bench/results/2026-05-27-19-33/results.json,222,old generated output or OS metadata
bench/results/2026-05-27-19-33/summary.md,227,old generated output or OS metadata
bench/results/2026-05-27-19-41/results.json,222,old generated output or OS metadata
bench/results/2026-05-27-19-41/summary.md,227,old generated output or OS metadata
bench/results/2026-05-27-19-47/results.json,222,old generated output or OS metadata
bench/results/2026-05-27-19-47/summary.md,227,old generated output or OS metadata
bench/results/2026-05-27-20-39/results.json,222,old generated output or OS metadata
bench/results/2026-05-27-20-39/summary.md,227,old generated output or OS metadata
bench/results/2026-05-27-21-00/results.json,222,old generated output or OS metadata
bench/results/2026-05-27-21-00/summary.md,227,old generated output or OS metadata
bench/results/2026-05-27-21-25/results.json,222,old generated output or OS metadata
bench/results/2026-05-27-21-25/summary.md,227,old generated output or OS metadata
bench/results/2026-05-27-23-06/results.json,222,old generated output or OS metadata
bench/results/2026-05-27-23-06/summary.md,227,old generated output or OS metadata
bench/results/2026-05-27-23-08/results.json,222,old generated output or OS metadata
bench/results/2026-05-27-23-08/summary.md,227,old generated output or OS metadata
bench/results/2026-05-27-23-11/results.json,222,old generated output or OS metadata
bench/results/2026-05-27-23-11/summary.md,227,old generated output or OS metadata
bench/results/2026-05-27-23-22/results.json,222,old generated output or OS metadata
bench/results/2026-05-27-23-22/summary.md,227,old generated output or OS metadata
bench/results/2026-05-28-13-20/results.json,222,old generated output or OS metadata
bench/results/2026-05-28-13-20/summary.md,227,old generated output or OS metadata
bench/results/2026-05-28-21-04/results.json,222,old generated output or OS metadata
bench/results/2026-05-28-21-04/summary.md,227,old generated output or OS metadata
bench/results/2026-05-28-21-18/results.json,222,old generated output or OS metadata
bench/results/2026-05-28-21-18/summary.md,227,old generated output or OS metadata
bench/results/2026-05-28-22-07/results.json,222,old generated output or OS metadata
bench/results/2026-05-28-22-07/summary.md,227,old generated output or OS metadata
bench/results/2026-05-28-22-24/results.json,222,old generated output or OS metadata
